,vc,br,conc,cond,well,log10conc,dose_conds_rlu
217,VC DMSO 0.3%,1,0.00411522633744856,Mo_72,M12,-2.38560627359831,1.078723238388
218,VC DMSO 0.3%,1,0.0123456790123457,Mo_72,M10,-1.90848501887865,1.03634619611042
219,VC DMSO 0.3%,1,0.037037037037037,Mo_72,M8,-1.43136376415899,0.964876644304242
220,VC DMSO 0.3%,1,0.111111111111111,Mo_72,M6,-0.954242509439325,1.03578010987151
221,VC DMSO 0.3%,1,0.333333333333333,Mo_72,M4,-0.477121254719662,0.970992065852379
222,VC DMSO 0.3%,1,1,Mo_72,M2,0,0.751438012245896
223,VC DMSO 0.3%,1,0.00411522633744856,Pf_62,M23,-2.38560627359831,1.06877732397508
224,VC DMSO 0.3%,1,0.0123456790123457,Pf_62,M21,-1.90848501887865,1.03936920174415
225,VC DMSO 0.3%,1,0.037037037037037,Pf_62,M19,-1.43136376415899,1.05318499435919
226,VC DMSO 0.3%,1,0.111111111111111,Pf_62,M17,-0.954242509439325,0.994249156813717
227,VC DMSO 0.3%,1,0.333333333333333,Pf_62,M15,-0.477121254719662,1.19070460735438
228,VC DMSO 0.3%,1,1,Pf_62,M13,0,1.05719951818982
229,VC DMSO 0.3%,1,0.00411522633744856,Pf_63,M24,-2.38560627359831,0.962769069783395
230,VC DMSO 0.3%,1,0.0123456790123457,Pf_63,M22,-1.90848501887865,0.873358051826685
231,VC DMSO 0.3%,1,0.037037037037037,Pf_63,M20,-1.43136376415899,0.982047192858047
232,VC DMSO 0.3%,1,0.111111111111111,Pf_63,M18,-0.954242509439325,0.916024005188557
233,VC DMSO 0.3%,1,0.333333333333333,Pf_63,M16,-0.477121254719662,0.774948727856799
234,VC DMSO 0.3%,1,1,Pf_63,M14,0,0.691475454931557
235,VC DMSO 0.3%,1,0.00411522633744856,Pf_64,N11,-2.38560627359831,1.00550545177911
236,VC DMSO 0.3%,1,0.0123456790123457,Pf_64,N9,-1.90848501887865,1.12342658072362
237,VC DMSO 0.3%,1,0.037037037037037,Pf_64,N7,-1.43136376415899,1.04893238726639
238,VC DMSO 0.3%,1,0.111111111111111,Pf_64,N5,-0.954242509439325,0.960899936005223
239,VC DMSO 0.3%,1,0.333333333333333,Pf_64,N3,-0.477121254719662,0.961896620572606
240,VC DMSO 0.3%,1,1,Pf_64,N1,0,0.840861667604866
241,VC DMSO 0.3%,1,0.00411522633744856,Pf_68,N23,-2.38560627359831,1.12774900655743
242,VC DMSO 0.3%,1,0.0123456790123457,Pf_68,N21,-1.90848501887865,1.15022106130707
243,VC DMSO 0.3%,1,0.037037037037037,Pf_68,N19,-1.43136376415899,1.33528893791632
244,VC DMSO 0.3%,1,0.111111111111111,Pf_68,N17,-0.954242509439325,1.09627820811414
245,VC DMSO 0.3%,1,0.333333333333333,Pf_68,N15,-0.477121254719662,1.19390387636879
246,VC DMSO 0.3%,1,1,Pf_68,N13,0,1.05264355655677
247,VC DMSO 0.3%,1,0.00411522633744856,Pf_70,O11,-2.38560627359831,1.13388379608867
248,VC DMSO 0.3%,1,0.0123456790123457,Pf_70,O9,-1.90848501887865,1.11607596796467
249,VC DMSO 0.3%,1,0.037037037037037,Pf_70,O7,-1.43136376415899,1.13062397795827
250,VC DMSO 0.3%,1,0.111111111111111,Pf_70,O5,-0.954242509439325,1.06265361167682
251,VC DMSO 0.3%,1,0.333333333333333,Pf_70,O3,-0.477121254719662,0.918416816826627
252,VC DMSO 0.3%,1,1,Pf_70,O1,0,0.656941374613605
253,VC DMSO 0.3%,1,0.00411522633744856,Pf_71,O12,-2.38560627359831,1.15868609064241
254,VC DMSO 0.3%,1,0.0123456790123457,Pf_71,O10,-1.90848501887865,1.18801252453603
255,VC DMSO 0.3%,1,0.037037037037037,Pf_71,O8,-1.43136376415899,1.166419337482
256,VC DMSO 0.3%,1,0.111111111111111,Pf_71,O6,-0.954242509439325,1.12936546969272
257,VC DMSO 0.3%,1,0.333333333333333,Pf_71,O4,-0.477121254719662,1.02817011205316
258,VC DMSO 0.3%,1,1,Pf_71,O2,0,0.834416205751932
259,VC DMSO 0.3%,1,0.00411522633744856,Pf_72,O23,-2.38560627359831,1.17879360766454
260,VC DMSO 0.3%,1,0.0123456790123457,Pf_72,O21,-1.90848501887865,1.25386747908048
261,VC DMSO 0.3%,1,0.037037037037037,Pf_72,O19,-1.43136376415899,1.2143888281507
262,VC DMSO 0.3%,1,0.111111111111111,Pf_72,O17,-0.954242509439325,1.2011836865382
263,VC DMSO 0.3%,1,0.333333333333333,Pf_72,O15,-0.477121254719662,1.15799176650861
264,VC DMSO 0.3%,1,1,Pf_72,O13,0,1.01552012679074
265,VC DMSO 0.3%,1,0.00411522633744856,Pf_84,O24,-2.38560627359831,1.15848036465077
266,VC DMSO 0.3%,1,0.0123456790123457,Pf_84,O22,-1.90848501887865,1.16909231809624
267,VC DMSO 0.3%,1,0.037037037037037,Pf_84,O20,-1.43136376415899,1.13840260959068
268,VC DMSO 0.3%,1,0.111111111111111,Pf_84,O18,-0.954242509439325,1.16451095172227
269,VC DMSO 0.3%,1,0.333333333333333,Pf_84,O16,-0.477121254719662,1.19028011883409
270,VC DMSO 0.3%,1,1,Pf_84,O14,0,1.3339505346222
271,VC DMSO 0.3%,1,0.00411522633744856,Pt_46,P11,-2.38560627359831,1.14199101323563
272,VC DMSO 0.3%,1,0.0123456790123457,Pt_46,P9,-1.90848501887865,1.15912037941314
273,VC DMSO 0.3%,1,0.037037037037037,Pt_46,P7,-1.43136376415899,1.176607608448
274,VC DMSO 0.3%,1,0.111111111111111,Pt_46,P5,-0.954242509439325,1.01690354962585
275,VC DMSO 0.3%,1,0.333333333333333,Pt_46,P3,-0.477121254719662,1.0315344758246
276,VC DMSO 0.3%,1,1,Pt_46,P1,0,1.07637019505768
277,VC DMSO 0.3%,1,0.00411522633744856,Pt_47,P23,-2.38560627359831,0.946329328269836
278,VC DMSO 0.3%,1,0.0123456790123457,Pt_47,P21,-1.90848501887865,0.922838066437361
279,VC DMSO 0.3%,1,0.037037037037037,Pt_47,P19,-1.43136376415899,0.819890893905516
280,VC DMSO 0.3%,1,0.111111111111111,Pt_47,P17,-0.954242509439325,1.0542267979404
281,VC DMSO 0.3%,1,0.333333333333333,Pt_47,P15,-0.477121254719662,0.474689026613664
282,VC DMSO 0.3%,1,1,Pt_47,P13,0,0.482611228635393
